model,threshold,accuracy,precision,recall,specificity,f1_score,roc_auc,pr_auc,TP,FP,TN,FN,predicted_positive_count,predicted_positive_ratio,youden_j
CatBoost,0.34,0.9925922201551947,0.5460526315789473,0.03732014388489208,0.9997669792746638,0.06986531986531985,0.8439528729654308,0.09477537081883369,249,207,888126,6423,456,0.0005094943603667018,0.03708712315955598
CatBoost,0.345,0.9925922201551947,0.5477272727272727,0.03612110311750599,0.9997759849065609,0.06777277840269964,0.8439528729654308,0.09477537081883369,241,199,888134,6431,440,0.0004916173652661158,0.03589708802406699
CatBoost,0.35,0.9925911028430009,0.548235294117647,0.0349220623501199,0.9997838648344709,0.06566154713259123,0.8439528729654308,0.09477537081883369,233,192,888141,6439,425,0.00047485768235931643,0.03470592718459087
CatBoost,0.355,0.9926022759649388,0.562962962962963,0.0341726618705036,0.9998007503942778,0.06443408223823655,0.8439528729654308,0.09477537081883369,228,177,888156,6444,405,0.00045251143848358387,0.033973412264781455
CatBoost,0.36,0.9925944547795822,0.5569948186528497,0.0322242206235012,0.9998075046182006,0.06092377444035137,0.8439528729654308,0.09477537081883369,215,171,888162,6457,386,0.000431282506801638,0.032031725241701725
CatBoost,0.365,0.9925922201551947,0.5561497326203209,0.03117505995203837,0.9998131331381362,0.05904059040590405,0.8439528729654308,0.09477537081883369,208,166,888167,6464,374,0.00041787476047619844,0.03098819309017453
CatBoost,0.37,0.9925866335942257,0.5521126760563381,0.029376498800959234,0.9998210130660462,0.055784829941653624,0.8439528729654308,0.09477537081883369,196,159,888174,6476,355,0.00039664582879425257,0.029197511867005366
CatBoost,0.375,0.9925922201551947,0.561046511627907,0.02892685851318945,0.9998300186979432,0.05501710376282782,0.8439528729654308,0.09477537081883369,193,151,888182,6479,344,0.00038435539466259965,0.028756877211132625
CatBoost,0.38,0.9925888682186133,0.5589123867069486,0.02772781774580336,0.9998356472178789,0.052834499500214196,0.8439528729654308,0.09477537081883369,185,146,888187,6487,331,0.0003698303361433735,0.027563464963682227
CatBoost,0.385,0.9925888682186133,0.5607476635514018,0.02697841726618705,0.9998412757378146,0.051480051480051484,0.8439528729654308,0.09477537081883369,180,141,888192,6492,321,0.00035865721420550725,0.026819693004001666
CatBoost,0.39,0.9925922201551947,0.5673076923076923,0.026528776978417268,0.9998480299617373,0.050687285223367705,0.8439528729654308,0.09477537081883369,177,135,888198,6495,312,0.0003486014044614276,0.02637680694015465
CatBoost,0.395,0.9925944547795822,0.5728476821192053,0.02592925659472422,0.9998547841856601,0.049612847720103236,0.8439528729654308,0.09477537081883369,173,129,888204,6499,302,0.0003374282825235613,0.02578404078038421
CatBoost,0.4,0.9925911028430009,0.569023569023569,0.025329736211031174,0.9998559098896472,0.048500502224135454,0.8439528729654308,0.09477537081883369,169,128,888205,6503,297,0.0003318417215546282,0.025185646100678305
CatBoost,0.405,0.9925933374673884,0.5749128919860628,0.02473021582733813,0.99986266411357,0.0474206064089668,0.8439528729654308,0.09477537081883369,165,122,888211,6507,287,0.0003206685996167619,0.024592879940908086
CatBoost,0.41,0.9925911028430009,0.5745454545454546,0.023681055155875298,0.9998682926335056,0.04548726068806679,0.8439528729654308,0.09477537081883369,158,117,888216,6514,275,0.0003072608532913224,0.023549347789380892
CatBoost,0.415,0.9925899855308071,0.5735294117647058,0.023381294964028777,0.9998694183374928,0.044930875576036866,0.8439528729654308,0.09477537081883369,156,116,888217,6516,272,0.00030390891670996253,0.02325071330152162
CatBoost,0.42,0.9925955720917761,0.5855513307984791,0.023081534772182253,0.9998772982654027,0.04441240086517664,0.8439528729654308,0.09477537081883369,154,109,888224,6518,263,0.0002938531069658829,0.022958833037584947
CatBoost,0.425,0.9925978067161636,0.592156862745098,0.02263189448441247,0.9998829267853384,0.04359751696261008,0.8439528729654308,0.09477537081883369,151,104,888229,6521,255,0.00028491460941558987,0.022514821269750795
CatBoost,0.43,0.9925989240283574,0.5975609756097561,0.022032374100719423,0.999888555305274,0.0424978317432784,0.8439528729654308,0.09477537081883369,147,99,888234,6525,246,0.0002748587996715102,0.02192092940599344
CatBoost,0.435,0.9925989240283574,0.5991735537190083,0.021732613908872902,0.9998908067132483,0.04194388197859415,0.8439528729654308,0.09477537081883369,145,97,888236,6527,242,0.0002703895508963637,0.02162342062212108
CatBoost,0.44,0.9925989240283574,0.6016949152542372,0.021282973621103117,0.9998941838252097,0.04111175448755067,0.8439528729654308,0.09477537081883369,142,94,888239,6530,236,0.00026368567773364394,0.021177157446312878
CatBoost,0.445,0.9925933374673884,0.5930735930735931,0.02053357314148681,0.9998941838252097,0.03969288715051427,0.8439528729654308,0.09477537081883369,137,94,888239,6535,231,0.0002580991167647108,0.02042775696669641
CatBoost,0.45,0.9925933374673884,0.5955555555555555,0.020083932853717026,0.9998975609371711,0.03885747426417283,0.8439528729654308,0.09477537081883369,134,91,888242,6538,225,0.000251395243601991,0.019981493790888205
CatBoost,0.455,0.9926000413405511,0.6129032258064516,0.019934052757793766,0.999905440865081,0.03861228044708956,0.8439528729654308,0.09477537081883369,133,84,888249,6539,217,0.00024245674605169804,0.019839493622874738
